devices,date,time_slot,q_kfz,q_lkw,q_pkw,v_kfz
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,00-04,520.0,41.0,479.0,120.04
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,04-08,915.0,34.0,881.0,126.16
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,08-12,4408.0,100.0,4308.0,128.11
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,12-16,8229.0,148.0,8081.0,124.04
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,16-20,4919.0,92.0,4827.0,130.91
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,20-24,1671.0,83.0,1588.0,127.53
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,00-04,462.0,163.0,299.0,106.28
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,04-08,4306.0,457.0,3849.0,116.09
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,08-12,9368.0,469.0,8899.0,112.31
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,12-16,10534.0,581.0,9953.0,110.56
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,16-20,6919.0,651.0,6268.0,114.81
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,20-24,1618.0,212.0,1406.0,129.31
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,00-04,519.0,217.0,302.0,108.57
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,04-08,2894.0,717.0,2177.0,110.66
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,08-12,6030.0,933.0,5097.0,115.19
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,12-16,6986.0,917.0,6069.0,114.67
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,16-20,5126.0,654.0,4472.0,120.12
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,20-24,1579.0,237.0,1342.0,127.15
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,00-04,543.0,262.0,281.0,109.8
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,04-08,3632.0,783.0,2849.0,110.3
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,08-12,6653.0,904.0,5749.0,116.58
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,12-16,6304.0,959.0,5345.0,117.09
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,16-20,4638.0,609.0,4029.0,122.12
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,20-24,1453.0,203.0,1250.0,127.67
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,00-04,487.0,239.0,248.0,108.49
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,04-08,2452.0,626.0,1826.0,115.46
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,08-12,5214.0,801.0,4413.0,120.02
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,12-16,6447.0,719.0,5728.0,119.13
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,16-20,6172.0,578.0,5594.0,119.93
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,20-24,2117.0,183.0,1934.0,132.52
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,00-04,517.0,115.0,402.0,119.62
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,04-08,3065.0,250.0,2815.0,123.37
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,08-12,6745.0,398.0,6347.0,121.78
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,12-16,5967.0,389.0,5578.0,124.64
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,16-20,3754.0,285.0,3469.0,129.53
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,20-24,1499.0,144.0,1355.0,131.8
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,00-04,701.0,272.0,429.0,114.71
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,04-08,3821.0,1141.0,2680.0,112.47
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,08-12,7866.0,540.0,7326.0,117.22
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,12-16,8461.0,367.0,8094.0,117.11
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,16-20,3958.0,177.0,3781.0,129.51
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,20-24,1623.0,104.0,1519.0,129.48
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,00-04,648.0,62.0,586.0,126.92
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,04-08,1534.0,113.0,1421.0,128.95
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,08-12,5994.0,182.0,5812.0,127.1
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,12-16,7747.0,197.0,7550.0,107.23
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,16-20,3993.0,107.0,3886.0,115.08
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,20-24,1728.0,119.0,1609.0,116.59
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,00-04,591.0,311.0,280.0,102.9
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,04-08,2500.0,1027.0,1473.0,100.51
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,08-12,3700.0,762.0,2938.0,107.33
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,12-16,5029.0,1211.0,3818.0,110.76
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,16-20,4728.0,1034.0,3694.0,118.2
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,20-24,1296.0,300.0,996.0,123.62
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,00-04,573.0,325.0,248.0,105.67
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,04-08,2710.0,1278.0,1432.0,104.64
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,08-12,4357.0,1538.0,2819.0,109.95
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,12-16,5168.0,1570.0,3598.0,111.12
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,16-20,4869.0,1044.0,3825.0,109.21
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,20-24,1451.0,320.0,1131.0,110.68
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,00-04,557.0,321.0,236.0,97.57
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,04-08,3075.0,1267.0,1808.0,95.05
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,08-12,4609.0,1304.0,3305.0,101.57
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,12-16,6070.0,1573.0,4497.0,99.65
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,16-20,5574.0,1045.0,4529.0,103.45
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,20-24,1746.0,326.0,1420.0,110.53
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,00-04,605.0,338.0,267.0,100.31
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,04-08,3371.0,1281.0,2090.0,96.24
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,08-12,5108.0,1403.5,3704.5,104.34
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,12-16,6039.0,1443.0,4596.0,113.26
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,16-20,6260.0,908.0,5352.0,119.56
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,20-24,2026.0,287.0,1739.0,127.03
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,00-04,575.0,322.0,253.0,106.27
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,04-08,3072.0,1126.0,1946.0,109.6
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,08-12,5478.0,1220.0,4258.0,116.2
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,12-16,8856.0,1316.0,7540.0,109.94
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,16-20,8440.0,862.0,7578.0,114.68
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,20-24,2441.0,211.0,2230.0,129.82
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,00-04,836.0,295.0,541.0,114.13
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,04-08,5357.0,993.0,4364.0,112.22
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,08-12,10363.0,699.0,9664.0,102.29
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,12-16,11710.0,460.0,11250.0,80.99
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,16-20,4872.0,292.0,4580.0,125.37
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,20-24,1515.0,104.0,1411.0,130.37
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,00-04,516.0,81.0,435.0,122.08
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,04-08,1740.0,102.0,1638.0,124.39
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,08-12,5553.0,178.0,5375.0,128.0
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,12-16,7854.0,196.0,7658.0,118.44
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,16-20,3908.0,148.0,3760.0,129.0
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,20-24,1524.0,107.0,1417.0,130.59
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,00-04,550.0,292.0,258.0,107.2
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,04-08,3381.0,1424.0,1957.0,104.44
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,08-12,4955.0,1041.0,3914.0,111.86
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,12-16,5634.0,1464.0,4170.0,112.67
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,16-20,5036.0,1184.0,3852.0,117.53
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,20-24,1313.0,313.0,1000.0,122.99
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,00-04,534.0,320.0,214.0,101.75
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,04-08,3167.0,1395.0,1772.0,105.39
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,08-12,5043.0,1678.0,3365.0,110.66
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,12-16,5463.0,1620.0,3843.0,113.28
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,16-20,5404.0,1206.0,4198.0,116.31
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,20-24,1518.0,312.0,1206.0,123.34
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,00-04,604.0,337.0,267.0,103.04
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,04-08,3402.0,1411.0,1991.0,105.49
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,08-12,5155.0,1482.0,3673.0,112.92
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,12-16,6416.0,1540.0,4876.0,112.93
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,16-20,6314.0,1102.0,5212.0,117.28
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,20-24,1899.0,327.0,1572.0,128.79
"MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-19,00-04,614.0,347.0,267.0,101.31
