devices,date,time_slot,q_kfz,q_lkw,q_pkw,v_kfz
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,00-04,708.0,64.0,644.0,118.65
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,04-08,711.0,58.0,653.0,121.39
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,08-12,6979.0,143.0,6836.0,123.75
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,12-16,10921.0,204.0,10717.0,114.59
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,16-20,7598.0,168.0,7430.0,119.39
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,20-24,1965.0,122.0,1843.0,125.19
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,00-04,408.0,89.0,319.0,115.73
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,04-08,3464.0,342.0,3122.0,123.08
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,08-12,9885.0,567.0,9318.0,110.08
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,12-16,10614.0,618.0,9996.0,108.05
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,16-20,7734.0,505.0,7229.0,114.54
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,20-24,1934.0,248.0,1686.0,120.3
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,00-04,439.0,131.0,308.0,111.7
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,04-08,2414.0,494.0,1920.0,115.91
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,08-12,7717.0,944.0,6773.0,111.66
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,12-16,7892.0,765.0,7127.0,113.11
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,16-20,5239.0,642.0,4597.0,116.12
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,20-24,1482.0,306.0,1176.0,118.78
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,00-04,369.0,173.0,196.0,108.68
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,04-08,2421.0,651.0,1770.0,115.5
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,08-12,6806.0,956.0,5850.0,114.96
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,12-16,7303.0,830.0,6473.0,113.1
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,16-20,7333.0,685.0,6648.0,114.93
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,20-24,1694.0,259.0,1435.0,121.23
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,00-04,397.0,138.0,259.0,110.4
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,04-08,2363.0,688.0,1675.0,113.72
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,08-12,7260.0,1003.0,6257.0,113.51
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,12-16,8594.0,851.0,7743.0,112.03
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,16-20,6192.0,706.0,5486.0,113.41
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,20-24,1872.0,313.0,1559.0,119.68
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,00-04,534.0,138.0,396.0,114.45
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,04-08,1776.0,291.0,1485.0,121.41
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,08-12,8079.0,383.0,7696.0,118.65
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,12-16,9749.0,300.0,9449.0,116.39
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,16-20,9302.0,289.0,9013.0,115.73
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,20-24,3157.0,227.0,2930.0,123.94
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,00-04,739.0,99.0,640.0,120.74
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,04-08,5875.0,497.0,5378.0,121.68
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,08-12,10894.0,621.0,10273.0,107.36
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,12-16,9553.0,283.0,9270.0,75.79
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,16-20,9152.0,319.0,8833.0,113.6
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,20-24,3106.0,210.0,2896.0,125.71
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-08,00-04,655.0,67.0,588.0,124.07
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-08,04-08,2609.0,81.0,2528.0,128.32
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-08,08-12,9613.0,159.0,9454.0,120.9
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-08,12-16,10837.0,202.0,10635.0,112.13
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-08,16-20,7442.0,241.0,7201.0,119.87
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-08,20-24,1723.0,162.0,1561.0,123.92
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-09,00-04,337.0,122.0,215.0,110.62
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-09,04-08,3427.0,604.0,2823.0,115.35
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-09,08-12,5225.0,873.0,4352.0,116.66
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-09,12-16,4484.0,825.0,3659.0,117.21
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-09,16-20,3655.0,767.0,2888.0,116.5
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-09,20-24,926.0,277.0,649.0,113.65
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-10,00-04,316.0,160.0,156.0,103.79
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-10,04-08,3609.0,945.0,2664.0,111.57
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-10,08-12,5357.0,1746.0,3611.0,109.01
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-10,12-16,4562.0,1380.0,3182.0,112.53
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-10,16-20,3961.0,1035.0,2926.0,115.25
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-10,20-24,1129.0,476.0,653.0,111.93
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-11,00-04,413.0,245.0,168.0,103.47
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-11,04-08,3651.0,1221.0,2430.0,110.21
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-11,08-12,5735.0,1851.0,3884.0,110.19
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-11,12-16,5097.0,1503.0,3594.0,111.14
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-11,16-20,4511.0,1123.0,3388.0,112.7
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-11,20-24,1126.0,409.0,717.0,111.44
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-12,00-04,378.0,209.0,169.0,99.46
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-12,04-08,3666.0,1195.0,2471.0,110.72
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-12,08-12,5804.0,1741.0,4063.0,110.02
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-12,12-16,5412.0,1385.0,4027.0,113.18
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-12,16-20,4612.0,960.0,3652.0,117.11
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-12,20-24,1124.0,312.0,812.0,116.38
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-13,00-04,391.0,184.0,207.0,108.45
"MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-13,04-08,3210.0,1064.0,2146.0,111.76
