devices,date,time_slot,q_kfz,q_lkw,q_pkw,v_kfz
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,00-04,330.0,37.0,293.0,96.34
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,04-08,725.0,41.0,684.0,98.95
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,08-12,3367.0,86.0,3281.0,103.04
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,12-16,6725.0,130.0,6595.0,98.94
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,16-20,4230.0,72.0,4158.0,102.07
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,20-24,1387.0,67.0,1320.0,100.03
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,00-04,387.0,139.0,248.0,89.07
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,04-08,3547.0,494.0,3053.0,92.72
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,08-12,7802.0,443.0,7359.0,92.98
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,12-16,8626.0,519.0,8107.0,76.07
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,16-20,5821.0,562.0,5259.0,86.95
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,20-24,1249.0,161.0,1088.0,99.99
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,00-04,468.0,192.0,276.0,92.2
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,04-08,2578.0,780.0,1798.0,91.46
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,08-12,5288.0,884.0,4404.0,94.44
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,12-16,5700.0,840.0,4860.0,94.16
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,16-20,3812.0,622.0,3190.0,96.96
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,20-24,1196.0,170.0,1026.0,98.24
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,00-04,464.0,229.0,235.0,92.69
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,04-08,3155.0,814.0,2341.0,89.89
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,08-12,5861.0,883.0,4978.0,95.63
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,12-16,4913.0,862.0,4051.0,97.66
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,16-20,3590.0,582.0,3008.0,97.56
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,20-24,1168.0,171.0,997.0,98.83
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,00-04,405.0,197.0,208.0,91.54
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,04-08,2145.0,645.0,1500.0,93.09
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,08-12,4611.0,750.0,3861.0,97.35
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,12-16,5171.0,660.0,4511.0,97.88
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,16-20,4823.0,512.0,4311.0,97.56
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,20-24,1801.0,161.0,1640.0,97.33
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,00-04,429.0,105.0,324.0,92.02
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,04-08,2459.0,181.0,2278.0,96.67
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,08-12,5284.0,230.0,5054.0,100.34
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,12-16,4547.0,189.0,4358.0,100.9
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,16-20,3001.0,178.0,2823.0,99.77
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,20-24,1224.0,124.0,1100.0,97.84
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-07,00-04,514.0,186.0,328.0,88.68
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-07,04-08,3685.0,1552.0,2133.0,65.93
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-07,08-12,6686.0,446.0,6240.0,95.92
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-07,12-16,7882.0,256.0,7626.0,63.21
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-07,16-20,3751.0,136.0,3615.0,100.43
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-07,20-24,1360.0,91.0,1269.0,99.47
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-08,00-04,522.0,64.0,458.0,97.07
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-08,04-08,1243.0,107.0,1136.0,99.03
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-08,08-12,4611.0,155.0,4456.0,100.93
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-08,12-16,6982.0,182.0,6800.0,90.37
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-08,16-20,3465.0,106.0,3359.0,93.36
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-08,20-24,1448.0,102.0,1346.0,94.2
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-09,00-04,477.0,236.0,241.0,87.01
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-09,04-08,2137.0,993.0,1144.0,47.64
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-09,08-12,3604.0,1021.0,2583.0,75.44
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-09,12-16,4028.0,1111.0,2917.0,93.39
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-09,16-20,3343.0,962.0,2381.0,99.8
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-09,20-24,939.0,208.0,731.0,102.14
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-10,00-04,498.0,277.0,221.0,91.97
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-10,04-08,2540.0,1340.0,1200.0,88.0
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-10,08-12,3754.0,1465.0,2289.0,94.64
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-10,12-16,4184.0,1515.0,2669.0,96.38
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-10,16-20,3347.0,941.0,2406.0,99.56
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-10,20-24,995.0,235.0,760.0,100.74
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-11,00-04,506.0,295.0,211.0,90.63
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-11,04-08,2844.0,1393.0,1451.0,88.47
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-11,08-12,3898.0,1296.0,2602.0,99.67
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-11,12-16,4709.0,1467.0,3242.0,97.52
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-11,16-20,3968.0,924.0,3044.0,98.56
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-11,20-24,1228.0,265.0,963.0,98.15
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-12,00-04,509.0,281.0,228.0,90.55
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-12,04-08,3171.0,1454.0,1717.0,88.42
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-12,08-12,4289.0,1349.0,2940.0,98.37
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-12,12-16,4711.0,1378.0,3333.0,97.79
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-12,16-20,4623.0,861.0,3762.0,100.96
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-12,20-24,1455.0,218.0,1237.0,105.91
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-13,00-04,508.0,282.0,226.0,93.17
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-13,04-08,2780.0,1198.0,1582.0,91.06
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-13,08-12,4595.0,1194.0,3401.0,101.2
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-13,12-16,6728.0,1175.0,5553.0,99.04
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-13,16-20,6694.0,793.0,5901.0,95.65
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-13,20-24,1904.0,185.0,1719.0,103.3
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-14,00-04,641.0,242.0,399.0,96.28
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-14,04-08,4191.0,906.0,3285.0,86.31
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-14,08-12,8540.0,559.0,7981.0,78.57
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-14,12-16,9244.0,359.0,8885.0,42.93
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-14,16-20,4354.0,243.0,4111.0,94.87
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-14,20-24,1069.0,94.0,975.0,103.67
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-15,00-04,401.0,76.0,325.0,97.2
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-15,04-08,1396.0,99.0,1297.0,105.6
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-15,08-12,4507.0,168.0,4339.0,108.36
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-15,12-16,6567.0,189.0,6378.0,99.2
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-15,16-20,3336.0,134.0,3202.0,105.64
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-15,20-24,1232.0,101.0,1131.0,105.47
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-16,00-04,457.0,235.0,222.0,90.84
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-16,04-08,3431.0,1790.0,1641.0,73.45
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-16,08-12,4059.0,969.0,3090.0,100.19
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-16,12-16,4507.0,1347.0,3160.0,97.99
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-16,16-20,3483.0,1059.0,2424.0,98.34
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-16,20-24,952.0,256.0,696.0,100.29
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-17,00-04,465.0,283.0,182.0,89.98
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-17,04-08,3001.0,1464.0,1537.0,88.48
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-17,08-12,4250.0,1568.0,2682.0,95.57
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-17,12-16,4245.0,1574.0,2671.0,96.56
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-17,16-20,3665.0,1048.0,2617.0,99.01
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-17,20-24,1044.0,255.0,789.0,99.06
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-18,00-04,501.0,299.0,202.0,89.51
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-18,04-08,3187.0,1537.0,1650.0,85.44
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-18,08-12,4357.0,1410.0,2947.0,94.57
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-18,12-16,5001.0,1419.0,3582.0,95.93
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-18,16-20,4540.0,1005.0,3535.0,99.37
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-18,20-24,1395.0,263.0,1132.0,105.06
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-19,00-04,514.0,308.0,206.0,90.85
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-19,04-08,3203.0,1469.0,1734.0,86.48
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-19,08-12,4805.0,1473.0,3332.0,93.84
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-19,12-16,5283.0,1289.0,3994.0,99.47
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-19,16-20,5361.0,996.0,4365.0,99.08
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-19,20-24,1950.0,255.0,1695.0,105.43
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-20,00-04,529.0,272.0,257.0,89.95
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-20,04-08,3056.0,1344.0,1712.0,88.35
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-20,08-12,5257.0,1164.0,4093.0,97.21
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-20,12-16,7292.0,1108.0,6184.0,96.39
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-20,16-20,7387.0,761.0,6626.0,83.75
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-20,20-24,2543.0,201.0,2342.0,77.15
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-21,00-04,726.0,265.0,461.0,76.6
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-21,04-08,3445.0,901.0,2544.0,76.1
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-21,08-12,8077.0,541.0,7536.0,35.69
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-21,12-16,8235.0,251.0,7984.0,27.35
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-21,16-20,5318.0,251.0,5067.0,67.11
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-21,20-24,1306.0,92.0,1214.0,88.29
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-22,00-04,399.0,81.0,318.0,84.42
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-22,04-08,2004.0,100.0,1904.0,95.64
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-22,08-12,5978.0,154.0,5824.0,102.73
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-22,12-16,7645.0,201.0,7444.0,73.22
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-22,16-20,3447.0,129.0,3318.0,106.74
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-22,20-24,1161.0,109.0,1052.0,103.47
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-23,00-04,449.0,225.0,224.0,89.82
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-23,04-08,3406.0,1706.0,1700.0,74.59
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-23,08-12,4210.0,1103.0,3107.0,98.18
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-23,12-16,4368.0,1316.0,3052.0,98.05
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-23,16-20,3445.0,997.0,2448.0,98.48
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-23,20-24,987.0,224.0,763.0,101.64
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-24,00-04,498.0,287.0,211.0,91.88
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-24,04-08,3103.0,1521.0,1582.0,85.57
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-24,08-12,4575.5,1528.5,3047.0,93.32
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-24,12-16,4465.5,1637.5,2828.0,94.2
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-24,16-20,3821.0,1020.0,2801.0,97.99
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-24,20-24,1182.0,260.0,922.0,102.02
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-25,00-04,633.0,288.0,345.0,93.43
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-25,04-08,3610.0,1474.0,2136.0,88.56
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-25,08-12,5569.0,1448.0,4121.0,95.4
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-25,12-16,5115.0,1495.0,3620.0,97.55
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-25,16-20,4698.0,1059.0,3639.0,98.89
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-25,20-24,1352.0,245.0,1107.0,104.17
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-26,00-04,547.0,301.0,246.0,94.81
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-26,04-08,3209.0,1370.0,1839.0,91.16
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-26,08-12,4865.0,1280.0,3585.0,96.74
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-26,12-16,5255.0,1409.0,3846.0,97.34
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-26,16-20,5352.0,882.0,4470.0,99.62
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-26,20-24,1829.0,249.0,1580.0,105.25
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-27,00-04,612.0,302.0,310.0,91.71
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-27,04-08,2942.0,1221.0,1721.0,91.63
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-27,08-12,5218.0,1118.0,4100.0,98.21
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-27,12-16,7181.0,1112.0,6069.0,98.01
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-27,16-20,8284.0,743.0,7541.0,83.15
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-27,20-24,3531.0,225.0,3306.0,100.69
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-28,00-04,818.0,270.0,548.0,85.4
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-28,04-08,3258.0,832.0,2426.0,90.86
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-28,08-12,8956.0,548.0,8408.0,31.62
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-28,12-16,9109.0,285.0,8824.0,30.34
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-28,16-20,6465.0,202.0,6263.0,69.18
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-28,20-24,1465.0,100.0,1365.0,106.87
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-29,00-04,386.0,73.0,313.0,97.98
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-29,04-08,3353.0,89.0,3264.0,90.13
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-29,08-12,8043.0,146.0,7897.0,82.26
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-29,12-16,7030.0,179.0,6851.0,102.72
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-29,16-20,3281.0,117.0,3164.0,107.63
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-29,20-24,1183.0,90.0,1093.0,103.82
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-30,00-04,443.0,214.0,229.0,90.49
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-30,04-08,3402.0,1674.0,1728.0,75.8
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-30,08-12,4162.0,1051.0,3111.0,98.74
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-30,12-16,4040.0,1196.0,2844.0,98.9
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-30,16-20,3329.0,989.0,2340.0,95.75
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-30,20-24,1019.0,257.0,762.0,98.66
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-31,00-04,480.0,283.0,197.0,90.17
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-31,04-08,3031.0,1486.0,1545.0,89.59
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-31,08-12,4136.0,1521.0,2615.0,95.28
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-31,12-16,4307.0,1583.0,2724.0,96.43
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-31,16-20,3727.0,983.0,2744.0,100.02
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-31,20-24,1026.0,231.0,795.0,100.98
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-01,00-04,527.0,294.0,233.0,92.22
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-01,04-08,2910.0,1381.0,1529.0,90.34
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-01,08-12,4369.0,1419.0,2950.0,95.52
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-01,12-16,4741.0,1502.0,3239.0,96.8
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-01,16-20,4590.0,1034.0,3556.0,99.71
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-01,20-24,1311.0,233.0,1078.0,103.47
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-02,00-04,512.0,283.0,229.0,90.04
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-02,04-08,2958.0,1458.0,1500.0,86.08
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-02,08-12,4010.0,1238.0,2772.0,95.07
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-02,12-16,4725.0,1214.0,3511.0,94.81
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-02,16-20,5236.0,1017.0,4219.0,94.1
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-02,20-24,2088.0,261.0,1827.0,99.47
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-03,00-04,605.0,299.0,306.0,89.25
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-03,04-08,3191.0,1354.0,1837.0,89.72
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-03,08-12,5377.0,1285.0,4092.0,96.13
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-03,12-16,7441.0,1217.0,6224.0,96.23
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-03,16-20,7921.0,812.0,7109.0,87.87
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-03,20-24,2533.0,215.0,2318.0,103.17
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-04,00-04,762.0,251.0,511.0,94.48
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-04,04-08,4476.0,1007.0,3469.0,82.14
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-04,08-12,8893.0,440.0,8453.0,28.45
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-04,12-16,8617.0,277.0,8340.0,27.57
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-04,16-20,5904.0,219.0,5685.0,69.54
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-04,20-24,1244.0,101.0,1143.0,104.95
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-05,00-04,392.0,66.0,326.0,101.68
"MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-02-05,04-08,2701.0,94.0,2607.0,104.8
