devices,date,time_slot,q_kfz,q_lkw,q_pkw,v_kfz
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,00-04,422.0,61.0,361.0,67.39
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,04-08,596.0,58.0,538.0,66.85
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,08-12,5617.0,118.0,5499.0,48.75
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,12-16,7474.0,151.0,7323.0,28.68
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,16-20,5503.0,145.0,5358.0,50.68
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,20-24,1542.0,109.0,1433.0,65.31
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,00-04,352.0,85.0,267.0,68.13
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,04-08,2443.0,295.0,2148.0,68.74
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,08-12,6703.0,414.0,6289.0,34.98
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,12-16,7144.0,531.0,6613.0,28.21
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,16-20,5319.0,454.0,4865.0,37.23
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,20-24,1511.0,220.0,1291.0,66.39
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,00-04,373.0,125.0,248.0,68.13
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,04-08,1597.0,445.0,1152.0,70.61
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,08-12,5519.0,805.0,4714.0,46.09
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,12-16,5834.0,677.0,5157.0,53.03
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,16-20,4175.0,663.0,3512.0,63.5
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,20-24,1130.0,272.0,858.0,68.27
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,00-04,332.0,162.0,170.0,68.76
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,04-08,1551.0,573.0,978.0,72.37
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,08-12,4968.0,847.0,4121.0,67.58
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,12-16,5685.0,742.0,4943.0,65.04
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,16-20,5292.0,697.0,4595.0,40.82
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,20-24,1299.0,229.0,1070.0,66.33
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,00-04,322.0,129.0,193.0,69.39
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,04-08,1584.0,635.0,949.0,70.49
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,08-12,5476.0,889.0,4587.0,55.44
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,12-16,6467.0,787.0,5680.0,49.65
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,16-20,4766.0,784.0,3982.0,42.52
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,20-24,1487.0,317.0,1170.0,66.23
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-06,00-04,441.0,116.0,325.0,66.88
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-06,04-08,1399.0,153.0,1246.0,69.3
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-06,08-12,5993.0,268.0,5725.0,47.23
"MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-06,12-16,6931.0,247.0,6684.0,43.59
