devices,date,time_slot,q_kfz,q_lkw,q_pkw,v_kfz
"MQQ209_Mch_H,DE33,34",2023-01-01,00-04,767.0,34.0,733.0,126.49
"MQQ209_Mch_H,DE33,34",2023-01-01,04-08,672.0,27.0,645.0,130.37
"MQQ209_Mch_H,DE33,34",2023-01-01,08-12,6454.0,142.0,6312.0,130.62
"MQQ209_Mch_H,DE33,34",2023-01-01,12-16,9462.0,196.0,9266.0,126.49
"MQQ209_Mch_H,DE33,34",2023-01-01,16-20,6948.0,158.0,6790.0,129.34
"MQQ209_Mch_H,DE33,34",2023-01-01,20-24,2333.0,109.0,2224.0,134.7
"MQQ209_Mch_H,DE33,34",2023-01-02,00-04,931.0,204.0,727.0,126.86
"MQQ209_Mch_H,DE33,34",2023-01-02,04-08,3255.0,417.0,2838.0,127.85
"MQQ209_Mch_H,DE33,34",2023-01-02,08-12,9576.0,732.0,8844.0,116.37
"MQQ209_Mch_H,DE33,34",2023-01-02,12-16,10735.0,675.0,10060.0,111.82
"MQQ209_Mch_H,DE33,34",2023-01-02,16-20,6847.0,587.0,6260.0,101.31
"MQQ209_Mch_H,DE33,34",2023-01-02,20-24,2245.0,244.0,2001.0,132.83
"MQQ209_Mch_H,DE33,34",2023-01-03,00-04,936.0,290.0,646.0,121.69
"MQQ209_Mch_H,DE33,34",2023-01-03,04-08,2268.0,506.0,1762.0,114.71
"MQQ209_Mch_H,DE33,34",2023-01-03,08-12,6024.0,616.0,5408.0,118.63
"MQQ209_Mch_H,DE33,34",2023-01-03,12-16,8417.0,992.0,7425.0,103.54
"MQQ209_Mch_H,DE33,34",2023-01-03,16-20,6197.0,818.0,5379.0,117.99
"MQQ209_Mch_H,DE33,34",2023-01-03,20-24,2065.0,345.0,1720.0,127.74
"MQQ209_Mch_H,DE33,34",2023-01-04,00-04,866.0,291.0,575.0,121.32
"MQQ209_Mch_H,DE33,34",2023-01-04,04-08,2120.0,565.0,1555.0,120.51
"MQQ209_Mch_H,DE33,34",2023-01-04,08-12,6514.0,806.0,5708.0,123.15
"MQQ209_Mch_H,DE33,34",2023-01-04,12-16,7625.0,864.0,6761.0,121.82
"MQQ209_Mch_H,DE33,34",2023-01-04,16-20,6564.0,706.0,5858.0,122.52
"MQQ209_Mch_H,DE33,34",2023-01-04,20-24,2024.0,306.0,1718.0,130.99
"MQQ209_Mch_H,DE33,34",2023-01-05,00-04,963.0,271.0,692.0,121.85
"MQQ209_Mch_H,DE33,34",2023-01-05,04-08,2097.0,501.0,1596.0,120.25
