devices,date,time_slot,q_kfz,q_lkw,q_pkw,v_kfz
"MQQ245_Sbg_H,DE1,2",2023-01-01,00:00-00:30,26.0,2.0,24.0,116.25
"MQQ245_Sbg_H,DE1,2",2023-01-01,00:30-01:00,45.0,8.0,37.0,112.7
"MQQ245_Sbg_H,DE1,2",2023-01-01,01:00-01:30,48.0,2.0,46.0,126.0
"MQQ245_Sbg_H,DE1,2",2023-01-01,01:30-02:00,56.0,3.0,53.0,116.12
"MQQ245_Sbg_H,DE1,2",2023-01-01,02:00-02:30,61.0,0.0,61.0,120.65
"MQQ245_Sbg_H,DE1,2",2023-01-01,02:30-03:00,54.0,1.0,53.0,125.1
"MQQ245_Sbg_H,DE1,2",2023-01-01,03:00-03:30,50.0,1.0,49.0,118.2
"MQQ245_Sbg_H,DE1,2",2023-01-01,03:30-04:00,35.0,4.0,31.0,120.19
"MQQ245_Sbg_H,DE1,2",2023-01-01,04:00-04:30,46.0,1.0,45.0,125.62
"MQQ245_Sbg_H,DE1,2",2023-01-01,04:30-05:00,39.0,5.0,34.0,116.58
"MQQ245_Sbg_H,DE1,2",2023-01-01,05:00-05:30,47.0,3.0,44.0,121.63
"MQQ245_Sbg_H,DE1,2",2023-01-01,05:30-06:00,39.0,5.0,34.0,107.16
"MQQ245_Sbg_H,DE1,2",2023-01-01,06:00-06:30,58.0,3.0,55.0,117.01
"MQQ245_Sbg_H,DE1,2",2023-01-01,06:30-07:00,67.0,2.0,65.0,127.1
"MQQ245_Sbg_H,DE1,2",2023-01-01,07:00-07:30,89.0,6.0,83.0,127.81
"MQQ245_Sbg_H,DE1,2",2023-01-01,07:30-08:00,110.0,1.0,109.0,129.14
"MQQ245_Sbg_H,DE1,2",2023-01-01,08:00-08:30,133.0,6.0,127.0,130.45
"MQQ245_Sbg_H,DE1,2",2023-01-01,08:30-09:00,152.5,4.0,148.5,133.25
"MQQ245_Sbg_H,DE1,2",2023-01-01,09:00-09:30,228.0,4.0,224.0,131.0
"MQQ245_Sbg_H,DE1,2",2023-01-01,09:30-10:00,331.0,14.0,317.0,128.09
"MQQ245_Sbg_H,DE1,2",2023-01-01,10:00-10:30,316.0,11.0,305.0,134.67
"MQQ245_Sbg_H,DE1,2",2023-01-01,10:30-11:00,470.0,8.0,462.0,131.77
"MQQ245_Sbg_H,DE1,2",2023-01-01,11:00-11:30,538.0,12.0,526.0,130.17
"MQQ245_Sbg_H,DE1,2",2023-01-01,11:30-12:00,704.0,12.0,692.0,126.78
"MQQ245_Sbg_H,DE1,2",2023-01-01,12:00-12:30,775.0,7.0,768.0,125.54
"MQQ245_Sbg_H,DE1,2",2023-01-01,12:30-13:00,892.5,14.0,878.5,126.68
"MQQ245_Sbg_H,DE1,2",2023-01-01,13:00-13:30,913.0,9.0,904.0,126.44
"MQQ245_Sbg_H,DE1,2",2023-01-01,13:30-14:00,925.0,7.0,918.0,124.94
"MQQ245_Sbg_H,DE1,2",2023-01-01,14:00-14:30,967.0,9.0,958.0,122.45
"MQQ245_Sbg_H,DE1,2",2023-01-01,14:30-15:00,938.0,14.0,924.0,123.65
"MQQ245_Sbg_H,DE1,2",2023-01-01,15:00-15:30,865.0,11.0,854.0,123.8
"MQQ245_Sbg_H,DE1,2",2023-01-01,15:30-16:00,805.0,8.0,797.0,121.68
"MQQ245_Sbg_H,DE1,2",2023-01-01,16:00-16:30,851.0,12.0,839.0,124.81
"MQQ245_Sbg_H,DE1,2",2023-01-01,16:30-17:00,853.0,10.0,843.0,123.44
"MQQ245_Sbg_H,DE1,2",2023-01-01,17:00-17:30,703.0,9.0,694.0,121.36
"MQQ245_Sbg_H,DE1,2",2023-01-01,17:30-18:00,596.0,5.0,591.0,120.32
"MQQ245_Sbg_H,DE1,2",2023-01-01,18:00-18:30,534.5,9.0,525.5,123.53
"MQQ245_Sbg_H,DE1,2",2023-01-01,18:30-19:00,449.0,11.0,438.0,125.64
"MQQ245_Sbg_H,DE1,2",2023-01-01,19:00-19:30,394.0,8.0,386.0,126.37
"MQQ245_Sbg_H,DE1,2",2023-01-01,19:30-20:00,330.0,8.0,322.0,126.26
"MQQ245_Sbg_H,DE1,2",2023-01-01,20:00-20:30,262.0,10.0,252.0,127.35
"MQQ245_Sbg_H,DE1,2",2023-01-01,20:30-21:00,266.0,8.0,258.0,128.17
"MQQ245_Sbg_H,DE1,2",2023-01-01,21:00-21:30,238.0,8.0,230.0,126.93
"MQQ245_Sbg_H,DE1,2",2023-01-01,21:30-22:00,199.0,6.0,193.0,126.36
"MQQ245_Sbg_H,DE1,2",2023-01-01,22:00-22:30,147.0,6.0,141.0,127.21
"MQQ245_Sbg_H,DE1,2",2023-01-01,22:30-23:00,126.0,6.0,120.0,122.01
"MQQ245_Sbg_H,DE1,2",2023-01-01,23:00-23:30,109.0,11.0,98.0,124.65
"MQQ245_Sbg_H,DE1,2",2023-01-01,23:30-00:00,88.0,5.0,83.0,124.02
"MQQ245_Sbg_H,DE1,2",2023-01-02,00:00-00:30,64.0,8.0,56.0,122.24
