devices,date,time_slot,q_kfz,q_lkw,q_pkw,v_kfz
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,00-04,1395.0,31.0,1364.0,136.74
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,04-08,1838.0,44.0,1794.0,140.64
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,08-12,10696.0,132.0,10564.0,132.18
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,12-16,17556.0,148.0,17408.0,118.45
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,16-20,9071.0,108.0,8963.0,137.66
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,20-24,3297.0,106.0,3191.0,142.58
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,00-04,892.0,229.0,663.0,122.33
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,04-08,7727.0,607.0,7120.0,126.94
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,08-12,18472.0,777.0,17695.0,96.07
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,12-16,19417.0,833.0,18584.0,61.88
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,16-20,10874.0,644.0,10230.0,126.28
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,20-24,3229.0,311.0,2918.0,141.98
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,00-04,909.0,300.0,609.0,118.41
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,04-08,4607.0,992.0,3615.0,114.42
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,08-12,11314.0,1242.0,10072.0,112.84
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,12-16,12817.0,1143.0,11674.0,117.08
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,16-20,9951.0,775.0,9176.0,125.74
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,20-24,3262.0,341.0,2921.0,139.3
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,00-04,908.0,329.0,579.0,116.23
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,04-08,5700.0,1071.0,4629.0,119.5
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,08-12,12003.0,1286.0,10717.0,113.36
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,12-16,12429.0,1236.0,11193.0,117.72
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,16-20,9577.0,784.0,8793.0,126.01
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,20-24,3402.0,344.0,3058.0,134.47
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,00-04,914.0,312.0,602.0,114.46
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,04-08,4306.0,979.0,3327.0,119.18
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,08-12,10337.0,1256.0,9081.0,121.96
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,12-16,12714.0,1047.0,11667.0,114.47
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,16-20,12102.0,1031.0,11071.0,115.28
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,20-24,4423.0,299.0,4124.0,135.04
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,00-04,1022.0,153.0,869.0,129.55
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,04-08,4896.0,401.0,4495.0,133.23
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,08-12,16257.0,748.0,15509.0,111.27
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,12-16,13737.0,680.0,13057.0,116.86
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,16-20,7209.0,480.0,6729.0,132.14
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,20-24,3296.0,262.0,3034.0,142.34
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,00-04,1337.0,464.0,873.0,125.99
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,04-08,6072.0,1101.0,4971.0,123.41
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,08-12,17909.0,801.0,17108.0,103.9
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,12-16,16888.0,618.0,16270.0,115.56
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,16-20,8048.0,336.0,7712.0,136.47
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,20-24,3404.0,156.0,3248.0,143.39
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,00-04,984.0,87.0,897.0,135.38
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,04-08,2510.0,148.0,2362.0,140.37
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,08-12,11477.0,209.0,11268.0,129.22
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,12-16,13770.0,243.0,13527.0,130.3
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,16-20,7821.0,157.0,7664.0,138.39
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,20-24,3165.0,181.0,2984.0,138.83
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,00-04,892.0,410.0,482.0,115.01
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,04-08,4510.0,1249.0,3261.0,113.02
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,08-12,8257.0,1274.0,6983.0,122.35
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,12-16,9825.0,1489.0,8336.0,119.19
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,16-20,10420.0,1069.0,9351.0,122.51
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,20-24,2808.0,441.0,2367.0,128.55
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,00-04,880.0,439.0,441.0,106.04
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,04-08,4489.0,1562.0,2927.0,107.69
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,08-12,8793.0,2033.0,6760.0,115.22
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,12-16,10309.0,1917.0,8392.0,114.52
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,16-20,11547.0,1282.0,10265.0,115.09
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,20-24,3438.0,481.0,2957.0,134.49
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,00-04,962.0,445.0,517.0,109.16
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,04-08,5302.0,1658.0,3644.0,112.56
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,08-12,9469.0,1864.0,7605.0,115.33
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,12-16,11356.5,2090.5,9266.0,115.37
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,16-20,11828.0,1822.0,10006.0,104.71
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,20-24,3489.0,679.0,2810.0,118.62
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-12,00-04,981.0,488.0,493.0,107.77
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-12,04-08,5833.0,1745.0,4088.0,116.12
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-12,08-12,10429.0,2103.0,8326.0,113.88
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-12,12-16,12153.0,1958.0,10195.0,113.23
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-12,16-20,14083.0,1324.0,12759.0,114.58
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-12,20-24,4570.0,461.0,4109.0,138.54
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-13,00-04,1107.0,453.0,654.0,116.04
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-13,04-08,5740.0,1725.0,4015.0,113.95
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-13,08-12,11218.0,1828.0,9390.0,116.43
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-13,12-16,16908.0,1778.0,15130.0,106.34
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-13,16-20,15785.0,1173.0,14612.0,111.85
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-13,20-24,4999.0,611.0,4388.0,125.09
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-14,00-04,1541.0,478.0,1063.0,121.29
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-14,04-08,8088.0,1333.0,6755.0,119.02
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-14,08-12,18300.0,1237.0,17063.0,101.74
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-14,12-16,15917.0,816.0,15101.0,90.33
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-14,16-20,8775.0,513.0,8262.0,132.16
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-14,20-24,3398.0,179.0,3219.0,144.26
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-15,00-04,1051.0,80.0,971.0,133.2
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-15,04-08,2657.0,117.0,2540.0,135.4
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-15,08-12,10694.0,226.0,10468.0,133.56
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-15,12-16,12874.0,876.0,11998.0,118.98
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-15,16-20,7280.0,178.0,7102.0,134.42
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-15,20-24,3259.0,184.0,3075.0,142.95
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-16,00-04,927.0,453.0,474.0,116.46
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-16,04-08,5556.0,1504.0,4052.0,114.93
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-16,08-12,9697.0,1479.0,8218.0,116.22
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-16,12-16,10634.0,1758.0,8876.0,116.41
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-16,16-20,11077.0,1298.0,9779.0,116.78
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-16,20-24,3060.0,478.0,2582.0,132.92
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-17,00-04,943.0,465.0,478.0,107.0
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-17,04-08,5555.0,1820.0,3735.0,109.83
"MQQ37_Sbg_H,DE1,2,3,4",2023-01-17,08-12,10112.0,2222.0,7890.0,110.46
