devices,date,time_slot,q_kfz,q_lkw,q_pkw,v_kfz
"MQ_Gletschergarten_Ro,DE1,2",2023-01-01,00-04,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-01,04-08,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-01,08-12,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-01,12-16,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-01,16-20,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-01,20-24,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-02,00-04,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-02,04-08,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-02,08-12,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-02,12-16,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-02,16-20,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-02,20-24,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-03,00-04,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-03,04-08,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-03,08-12,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-03,12-16,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-03,16-20,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-03,20-24,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-04,00-04,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-04,04-08,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-04,08-12,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-04,12-16,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-04,16-20,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-04,20-24,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-05,00-04,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-05,04-08,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-05,08-12,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-05,12-16,0.0,0.0,0.0,
"MQ_Gletschergarten_Ro,DE1,2",2023-01-05,16-20,0.0,0.0,0.0,
