devices,date,time_slot,kfz_h,sv_h
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,00-04,1396.0,30.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,04-08,1838.0,39.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,08-12,10696.0,95.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,12-16,17556.0,78.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,16-20,9071.0,79.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-01,20-24,3297.0,83.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,00-04,892.0,225.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,04-08,7727.0,584.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,08-12,18788.5,696.5
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,12-16,19417.0,656.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,16-20,10874.0,581.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-02,20-24,3229.0,289.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,00-04,909.0,296.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,04-08,4607.0,970.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,08-12,11314.0,1160.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,12-16,12817.0,1062.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,16-20,9951.0,734.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-03,20-24,3262.0,323.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,00-04,908.0,319.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,04-08,5700.0,1051.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,08-12,12003.0,1221.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,12-16,12429.0,1156.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,16-20,9577.0,725.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-04,20-24,3402.0,318.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,00-04,914.0,301.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,04-08,4306.0,957.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,08-12,10337.0,1178.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,12-16,12714.0,955.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,16-20,12102.0,739.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-05,20-24,4423.0,275.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,00-04,1023.0,143.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,04-08,4896.0,377.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,08-12,16257.0,683.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,12-16,13737.0,618.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,16-20,7209.0,443.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-06,20-24,3296.0,246.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,00-04,1338.0,458.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,04-08,6072.0,1083.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,08-12,17909.0,741.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,12-16,16888.0,541.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,16-20,8048.0,284.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-07,20-24,3404.0,137.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,00-04,984.0,83.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,04-08,2510.0,141.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,08-12,11477.0,158.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,12-16,13770.0,167.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,16-20,7821.0,122.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-08,20-24,3167.0,160.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,00-04,892.0,402.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,04-08,4510.0,1139.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,08-12,8257.0,1202.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,12-16,9825.0,1398.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,16-20,10420.0,1008.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-09,20-24,2808.0,417.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,00-04,880.0,426.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,04-08,4489.0,1527.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,08-12,8793.0,1964.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,12-16,10309.0,1835.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,16-20,11547.0,1223.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-10,20-24,3438.0,454.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,00-04,962.0,441.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,04-08,5302.0,1635.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,08-12,9469.0,1791.0
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,12-16,11464.5,2038.5
"9171_MQQ37_Sbg_H,DE1,2,3,4",2023-01-11,16-20,11828.0,1363.0
