devices,date,time_slot,kfz_h,sv_h
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,00-04,520.0,41.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,04-08,915.0,31.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,08-12,4408.0,80.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,12-16,8229.0,95.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,16-20,4919.0,76.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-01,20-24,1671.0,72.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,00-04,462.0,159.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,04-08,4306.0,442.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,08-12,9368.0,430.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,12-16,10534.0,505.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,16-20,6919.0,601.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-02,20-24,1618.0,197.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,00-04,519.0,216.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,04-08,2894.0,709.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,08-12,6030.0,898.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,12-16,6986.0,877.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,16-20,5126.0,623.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-03,20-24,1579.0,231.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,00-04,543.0,255.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,04-08,3632.0,773.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,08-12,6653.0,860.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,12-16,6304.0,919.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,16-20,4638.0,574.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-04,20-24,1453.0,191.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,00-04,487.0,232.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,04-08,2501.0,623.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,08-12,5214.0,764.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,12-16,6447.0,679.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,16-20,6172.0,555.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-05,20-24,2117.0,177.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,00-04,517.0,112.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,04-08,3065.0,241.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,08-12,6745.0,365.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,12-16,5967.0,356.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,16-20,3754.0,265.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-06,20-24,1499.0,136.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,00-04,701.0,265.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,04-08,3821.0,1129.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,08-12,7866.0,512.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,12-16,8461.0,339.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,16-20,3958.0,157.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-07,20-24,1623.0,94.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,00-04,648.0,55.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,04-08,1534.0,105.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,08-12,5994.0,150.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,12-16,7747.0,149.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,16-20,3993.0,85.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-08,20-24,1728.0,108.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,00-04,591.0,308.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,04-08,2500.0,1019.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,08-12,3700.0,730.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,12-16,5029.0,1177.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,16-20,4728.0,1005.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-09,20-24,1296.0,285.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,00-04,573.0,324.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,04-08,2710.0,1271.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,08-12,4357.0,1509.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,12-16,5168.0,1543.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,16-20,4869.0,1027.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-10,20-24,1451.0,306.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,00-04,557.0,318.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,04-08,3075.0,1257.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,08-12,4609.0,1266.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,12-16,6070.0,1536.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,16-20,5574.0,1024.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-11,20-24,1746.0,311.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,00-04,605.0,334.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,04-08,3371.0,1271.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,08-12,5107.0,1369.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,12-16,6039.0,1413.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,16-20,6260.0,879.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-12,20-24,2026.0,265.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,00-04,575.0,317.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,04-08,3072.0,1114.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,08-12,5478.0,1179.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,12-16,8856.0,1249.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,16-20,8440.0,819.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-13,20-24,2441.0,198.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,00-04,836.0,288.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,04-08,5357.0,979.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,08-12,10363.0,649.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,12-16,11710.0,404.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,16-20,4872.0,253.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-14,20-24,1515.0,96.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,00-04,516.0,71.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,04-08,1740.0,94.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,08-12,5553.0,139.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,12-16,7854.0,156.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,16-20,3908.0,123.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-15,20-24,1538.5,99.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,00-04,550.0,283.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,04-08,3381.0,1401.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,08-12,4955.0,998.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,12-16,5634.0,1426.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,16-20,5036.0,1164.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-16,20-24,1313.0,306.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,00-04,534.0,317.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,04-08,3167.0,1384.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,08-12,5043.0,1642.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,12-16,5463.0,1567.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,16-20,5404.0,1177.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-17,20-24,1518.0,303.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,00-04,604.0,334.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,04-08,3402.0,1395.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,08-12,5155.0,1456.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,12-16,6416.0,1495.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,16-20,6314.0,1069.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-18,20-24,1899.0,314.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-19,00-04,614.0,344.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-19,04-08,3612.0,1382.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-19,08-12,5444.0,1424.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-19,12-16,6798.0,1371.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-19,16-20,7402.0,1114.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-19,20-24,2465.0,292.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-20,00-04,639.0,319.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-20,04-08,3412.0,1201.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-20,08-12,6208.0,1164.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-20,12-16,9588.0,1192.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-20,16-20,9346.0,779.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-20,20-24,3144.0,240.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-21,00-04,889.0,317.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-21,04-08,4630.0,912.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-21,08-12,9177.0,614.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-21,12-16,10093.0,344.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-21,16-20,5532.0,265.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-21,20-24,1563.0,102.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-22,00-04,540.0,71.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-22,04-08,2708.0,109.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-22,08-12,7515.0,135.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-22,12-16,9374.0,179.0
"9190_MQDZ_AD Inntal_(S)_Kff,DE33,34",2023-01-22,16-20,4050.0,111.0
