devices,date,time_slot,kfz_h,sv_h
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,00-04,708.0,64.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,04-08,711.0,52.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,08-12,6979.0,95.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,12-16,10921.0,125.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,16-20,7598.0,134.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-01,20-24,1965.0,109.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,00-04,408.0,87.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,04-08,3464.0,323.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,08-12,9885.0,499.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,12-16,10614.0,529.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,16-20,7734.0,454.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-02,20-24,1934.0,239.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,00-04,439.0,129.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,04-08,2414.0,485.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,08-12,7717.0,869.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,12-16,7892.0,700.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,16-20,5239.0,607.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-03,20-24,1482.0,292.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,00-04,369.0,170.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,04-08,2421.0,635.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,08-12,6806.0,874.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,12-16,7303.0,748.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,16-20,7333.0,647.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-04,20-24,1694.0,253.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,00-04,397.0,134.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,04-08,2407.0,664.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,08-12,7260.0,908.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,12-16,8594.0,753.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,16-20,6192.0,657.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-05,20-24,1872.0,291.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,00-04,534.0,126.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,04-08,1776.0,278.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,08-12,8079.0,266.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,12-16,9749.0,189.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,16-20,9302.0,240.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-06,20-24,3157.0,196.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,00-04,739.0,88.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,04-08,5875.0,475.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,08-12,10894.0,525.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,12-16,9553.0,190.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,16-20,9152.0,247.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-07,20-24,3106.0,185.0
"9190_MQDZ_AD Inntal_(S)_Ro,DE1,2",2023-01-08,00-04,655.0,57.0
