devices,date,time_slot,kfz_h,sv_h
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,00-04,330.0,37.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,04-08,725.0,39.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,08-12,3367.0,71.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,12-16,6725.0,83.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,16-20,4230.0,59.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-01,20-24,1387.0,56.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,00-04,387.0,134.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,04-08,3547.0,483.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,08-12,7802.0,411.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,12-16,8626.0,458.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,16-20,5821.0,522.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-02,20-24,1249.0,151.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,00-04,468.0,190.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,04-08,2578.0,773.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,08-12,5288.0,855.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,12-16,5700.0,810.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,16-20,3812.0,601.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-03,20-24,1196.0,164.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,00-04,464.0,223.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,04-08,3155.0,804.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,08-12,5861.0,852.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,12-16,4913.0,824.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,16-20,3590.0,560.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-04,20-24,1168.0,161.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,00-04,405.0,191.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,04-08,2145.0,640.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,08-12,4611.0,722.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,12-16,5171.0,624.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,16-20,4823.0,493.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-05,20-24,1801.0,154.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,00-04,429.0,100.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,04-08,2459.0,174.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,08-12,5284.0,204.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,12-16,4547.0,161.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,16-20,3001.0,165.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-06,20-24,1224.0,115.0
"9191_MQDZ_Kiefersfelden_(S)_Kff,DE33,34",2023-01-07,00-04,514.0,177.0
