devices,date,time_slot,kfz_h,sv_h
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,00-04,422.0,60.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,04-08,596.0,52.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,08-12,5617.0,80.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,12-16,7474.0,105.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,16-20,5503.0,125.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-01,20-24,1542.0,98.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,00-04,352.0,82.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,04-08,2443.0,282.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,08-12,6703.0,375.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,12-16,7144.0,476.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,16-20,5319.0,427.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-02,20-24,1511.0,213.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,00-04,373.0,124.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,04-08,1597.0,437.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,08-12,5519.0,757.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,12-16,5834.0,629.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,16-20,4175.0,638.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-03,20-24,1130.0,260.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,00-04,332.0,161.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,04-08,1551.0,560.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,08-12,4968.0,793.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,12-16,5685.0,689.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,16-20,5292.0,674.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-04,20-24,1299.0,223.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,00-04,322.0,126.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,04-08,1584.0,624.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,08-12,5476.0,835.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,12-16,6467.0,721.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,16-20,4766.0,749.0
"9191_MQDZ_Kiefersfelden_(S)_Ro,DE1,2",2023-01-05,20-24,1487.0,295.0
