devices,date,time_slot,kfz_h,sv_h
"9192_MQQ209_Mch_H,DE33,34",2023-01-01,00-04,767.0,33.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-01,04-08,672.0,26.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-01,08-12,6464.0,130.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-01,12-16,9462.0,179.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-01,16-20,6974.0,146.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-01,20-24,2333.0,105.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-02,00-04,931.0,202.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-02,04-08,3255.0,403.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-02,08-12,9615.0,700.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-02,12-16,10735.0,651.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-02,16-20,6858.0,560.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-02,20-24,2245.0,237.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-03,00-04,936.0,288.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-03,04-08,2270.0,498.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-03,08-12,6040.0,594.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-03,12-16,8427.0,966.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-03,16-20,6246.0,796.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-03,20-24,2065.0,331.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-04,00-04,866.0,284.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-04,04-08,2120.0,556.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-04,08-12,6526.0,770.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-04,12-16,7647.0,834.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-04,16-20,6564.0,686.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-04,20-24,2030.0,292.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-05,00-04,963.0,265.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-05,04-08,2097.0,490.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-05,08-12,6754.0,695.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-05,12-16,8721.0,745.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-05,16-20,6551.0,532.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-05,20-24,2592.0,265.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-06,00-04,1224.0,150.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-06,04-08,2134.0,132.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-06,08-12,8410.0,236.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-06,12-16,10465.0,218.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-06,16-20,9171.0,178.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-06,20-24,4162.0,109.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-07,00-04,1849.0,208.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-07,04-08,5668.0,270.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-07,08-12,11131.0,447.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-07,12-16,11105.0,354.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-07,16-20,10119.0,238.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-07,20-24,5922.0,156.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-08,00-04,2649.0,113.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-08,04-08,3863.0,120.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-08,08-12,10413.0,234.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-08,12-16,10907.0,215.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-08,16-20,8775.0,188.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-08,20-24,6102.0,285.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-09,00-04,1735.0,435.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-09,04-08,3724.0,648.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-09,08-12,5825.0,1002.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-09,12-16,6805.0,1401.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-09,16-20,6242.0,1434.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-09,20-24,2317.0,564.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-10,00-04,916.0,376.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-10,04-08,3104.0,1053.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-10,08-12,4763.0,1211.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-10,12-16,5346.0,1210.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-10,16-20,4907.0,1065.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-10,20-24,1685.0,399.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-11,00-04,787.0,360.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-11,04-08,2809.0,876.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-11,08-12,4760.0,1096.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-11,12-16,5286.0,1171.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-11,16-20,4966.0,1026.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-11,20-24,1566.0,462.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-12,00-04,785.0,395.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-12,04-08,2723.0,853.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-12,08-12,4830.0,1036.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-12,12-16,5331.0,1039.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-12,16-20,5128.0,836.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-12,20-24,1492.0,311.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-13,00-04,747.0,350.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-13,04-08,2193.0,657.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-13,08-12,4721.0,787.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-13,12-16,6394.0,831.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-13,16-20,5598.0,711.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-13,20-24,1862.0,318.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-14,00-04,960.0,225.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-14,04-08,2422.0,464.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-14,08-12,8467.0,638.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-14,12-16,7254.0,344.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-14,16-20,5724.0,184.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-14,20-24,1836.0,97.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-15,00-04,807.0,78.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-15,04-08,1133.0,109.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-15,08-12,6236.0,193.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-15,12-16,7886.0,223.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-15,16-20,7967.0,258.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-15,20-24,2042.0,167.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-16,00-04,822.0,435.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-16,04-08,3333.0,713.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-16,08-12,6157.0,1080.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-16,12-16,6035.0,1588.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-16,16-20,4950.0,1294.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-16,20-24,1567.0,559.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-17,00-04,661.0,363.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-17,04-08,3143.0,972.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-17,08-12,5054.0,1287.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-17,12-16,5364.0,1303.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-17,16-20,4639.0,1084.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-17,20-24,1388.0,411.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-18,00-04,629.0,353.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-18,04-08,2933.0,934.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-18,08-12,5076.0,1107.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-18,12-16,5481.0,1239.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-18,16-20,4833.0,1105.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-18,20-24,1359.0,390.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-19,00-04,593.0,393.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-19,04-08,2612.0,853.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-19,08-12,4788.0,1010.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-19,12-16,5279.0,1027.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-19,16-20,4791.0,825.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-19,20-24,1560.0,356.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-20,00-04,551.0,305.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-20,04-08,2157.0,625.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-20,08-12,5092.0,863.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-20,12-16,6581.0,865.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-20,16-20,4597.0,664.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-20,20-24,1658.0,345.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-21,00-04,662.0,255.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-21,04-08,2089.0,345.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-21,08-12,7288.0,540.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-21,12-16,6510.0,419.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-21,16-20,3617.0,158.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-21,20-24,1299.0,112.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-22,00-04,509.0,82.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-22,04-08,832.0,92.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-22,08-12,5506.0,158.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-22,12-16,7473.0,174.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-22,16-20,6429.0,227.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-22,20-24,2030.0,159.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-23,00-04,750.0,400.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-23,04-08,3369.0,845.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-23,08-12,5353.0,1173.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-23,12-16,5290.0,1270.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-23,16-20,4416.0,1034.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-23,20-24,1561.0,450.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-24,00-04,622.0,369.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-24,04-08,2955.0,950.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-24,08-12,5210.0,1293.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-24,12-16,5462.0,1293.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-24,16-20,4954.0,1196.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-24,20-24,1406.0,418.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-25,00-04,668.0,368.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-25,04-08,3016.0,973.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-25,08-12,5746.0,1212.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-25,12-16,5761.0,1234.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-25,16-20,5058.0,1058.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-25,20-24,1424.0,418.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-26,00-04,629.0,367.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-26,04-08,2729.0,864.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-26,08-12,5147.0,974.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-26,12-16,5501.0,1051.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-26,16-20,5147.0,864.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-26,20-24,1470.0,335.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-27,00-04,640.0,345.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-27,04-08,2144.0,628.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-27,08-12,5360.0,847.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-27,12-16,6701.0,812.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-27,16-20,5026.0,651.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-27,20-24,1729.0,309.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-28,00-04,800.0,290.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-28,04-08,3021.0,409.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-28,08-12,8527.0,552.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-28,12-16,7699.0,363.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-28,16-20,4086.0,158.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-28,20-24,1351.0,119.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-29,00-04,489.0,62.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-29,04-08,961.0,84.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-29,08-12,6222.0,113.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-29,12-16,7805.0,172.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-29,16-20,7074.0,191.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-29,20-24,2047.0,168.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-30,00-04,818.0,470.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-30,04-08,3506.0,872.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-30,08-12,5595.0,1116.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-30,12-16,5496.0,1365.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-30,16-20,4932.0,1241.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-30,20-24,1568.0,518.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-31,00-04,627.0,376.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-31,04-08,3146.0,1082.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-31,08-12,5211.0,1199.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-31,12-16,5612.0,1266.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-31,16-20,4825.0,1028.0
"9192_MQQ209_Mch_H,DE33,34",2023-01-31,20-24,1364.0,410.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-01,00-04,618.0,366.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-01,04-08,2957.0,943.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-01,08-12,5506.0,1184.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-01,12-16,5340.0,1231.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-01,16-20,4671.0,1013.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-01,20-24,1368.0,420.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-02,00-04,594.0,385.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-02,04-08,2658.0,871.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-02,08-12,4551.0,927.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-02,12-16,5342.0,1046.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-02,16-20,4699.0,884.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-02,20-24,1590.0,365.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-03,00-04,653.0,373.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-03,04-08,2193.0,730.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-03,08-12,5511.0,891.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-03,12-16,7402.0,943.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-03,16-20,5764.0,689.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-03,20-24,2098.0,340.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-04,00-04,779.0,204.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-04,04-08,3205.0,379.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-04,08-12,9395.0,467.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-04,12-16,9731.0,391.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-04,16-20,4767.0,150.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-04,20-24,1389.0,107.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-05,00-04,496.0,72.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-05,04-08,985.0,80.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-05,08-12,6238.0,119.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-05,12-16,8194.0,156.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-05,16-20,6875.0,214.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-05,20-24,2167.0,167.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-06,00-04,833.0,464.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-06,04-08,3394.0,763.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-06,08-12,5591.0,1207.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-06,12-16,5653.0,1379.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-06,16-20,5124.0,1369.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-06,20-24,1506.0,470.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-07,00-04,647.0,377.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-07,04-08,3171.0,1046.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-07,08-12,4952.0,1176.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-07,12-16,5235.0,1242.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-07,16-20,4956.0,1081.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-07,20-24,1447.0,438.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-08,00-04,618.0,372.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-08,04-08,2999.0,960.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-08,08-12,5073.0,1070.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-08,12-16,5617.0,1162.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-08,16-20,4965.0,831.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-08,20-24,1294.0,320.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-09,00-04,623.0,375.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-09,04-08,2684.0,828.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-09,08-12,4767.0,978.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-09,12-16,5353.0,954.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-09,16-20,5231.0,866.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-09,20-24,1504.0,342.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-10,00-04,620.0,331.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-10,04-08,2300.0,687.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-10,08-12,5359.0,780.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-10,12-16,6899.0,832.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-10,16-20,5384.0,674.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-10,20-24,1818.0,322.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-11,00-04,736.0,212.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-11,04-08,3130.0,426.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-11,08-12,7415.0,539.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-11,12-16,7577.0,352.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-11,16-20,5077.0,160.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-11,20-24,1612.0,127.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-12,00-04,506.0,79.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-12,04-08,1046.0,83.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-12,08-12,6292.0,141.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-12,12-16,8138.0,166.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-12,16-20,6985.0,251.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-12,20-24,2316.0,158.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-13,00-04,810.0,443.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-13,04-08,3460.0,809.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-13,08-12,5581.0,1125.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-13,12-16,5500.0,1360.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-13,16-20,5344.0,1279.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-13,20-24,1544.0,447.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-14,00-04,661.0,391.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-14,04-08,3112.0,1077.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-14,08-12,5000.0,1186.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-14,12-16,5298.0,1149.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-14,16-20,5212.0,1048.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-14,20-24,1425.0,452.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-15,00-04,604.0,369.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-15,04-08,3171.0,1006.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-15,08-12,5463.0,1111.0
"9192_MQQ209_Mch_H,DE33,34",2023-02-15,12-16,5796.0,1195.0
