devices,date,time_slot,kfz_h,sv_h
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,00:00-00:30,35.5,4.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,00:30-01:00,35.5,4.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,01:00-01:30,52.0,2.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,01:30-02:00,52.0,2.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,02:00-02:30,57.5,0.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,02:30-03:00,57.5,0.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,03:00-03:30,42.5,2.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,03:30-04:00,42.5,2.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,04:00-04:30,42.5,3.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,04:30-05:00,42.5,3.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,05:00-05:30,43.0,3.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,05:30-06:00,43.0,3.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,06:00-06:30,62.5,2.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,06:30-07:00,62.5,2.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,07:00-07:30,99.5,2.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,07:30-08:00,99.5,2.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,08:00-08:30,141.5,3.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,08:30-09:00,141.5,3.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,09:00-09:30,279.5,7.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,09:30-10:00,279.5,7.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,10:00-10:30,393.0,7.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,10:30-11:00,393.0,7.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,11:00-11:30,621.0,8.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,11:30-12:00,621.0,8.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,12:00-12:30,840.5,7.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,12:30-13:00,840.5,7.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,13:00-13:30,919.0,4.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,13:30-14:00,919.0,4.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,14:00-14:30,952.5,5.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,14:30-15:00,952.5,5.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,15:00-15:30,835.0,5.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,15:30-16:00,835.0,5.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,16:00-16:30,852.0,9.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,16:30-17:00,852.0,9.0
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,17:00-17:30,649.5,4.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,17:30-18:00,649.5,4.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,18:00-18:30,492.5,8.5
"9194_MQQ245_Sbg_H,DE1,2",2023-01-01,18:30-19:00,492.5,8.5
