devices,date,time_slot,fbt
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,00:00-00:30,6.33
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,00:30-01:00,6.1
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,01:00-01:30,5.57
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,01:30-02:00,5.55
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,02:00-02:30,5.31
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,02:30-03:00,4.43
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,03:00-03:30,3.94
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,03:30-04:00,3.67
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,04:00-04:30,4.35
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,04:30-05:00,5.36
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,05:00-05:30,5.59
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,05:30-06:00,5.66
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,06:00-06:30,5.86
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,06:30-07:00,6.32
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,07:00-07:30,6.61
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,07:30-08:00,6.71
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,08:00-08:30,6.91
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,08:30-09:00,7.12
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,09:00-09:30,7.14
