date,time_slot,lt
2023-01-01,00-04,7.88
2023-01-01,04-08,11.17
2023-01-01,08-12,11.78
2023-01-01,12-16,15.02
2023-01-01,16-20,11.42
2023-01-01,20-24,7.68
2023-01-02,00-04,6.33
2023-01-02,04-08,10.77
2023-01-02,08-12,12.16
2023-01-02,12-16,14.49
2023-01-02,16-20,9.32
2023-01-02,20-24,8.41
2023-01-03,00-04,7.73
2023-01-03,04-08,7.19
2023-01-03,08-12,6.51
2023-01-03,12-16,6.79
2023-01-03,16-20,6.06
2023-01-03,20-24,3.74
2023-01-04,00-04,2.2
2023-01-04,04-08,-0.27
2023-01-04,08-12,2.37
2023-01-04,12-16,7.71
2023-01-04,16-20,8.03
2023-01-04,20-24,7.73
2023-01-05,00-04,8.59
2023-01-05,04-08,9.35
2023-01-05,08-12,12.19
2023-01-05,12-16,11.23
2023-01-05,16-20,10.36
2023-01-05,20-24,9.17
2023-01-06,00-04,8.45
2023-01-06,04-08,4.18
2023-01-06,08-12,5.48
2023-01-06,12-16,10.91
2023-01-06,16-20,6.46
2023-01-06,20-24,6.24
2023-01-07,00-04,4.2
2023-01-07,04-08,3.15
2023-01-07,08-12,3.61
2023-01-07,12-16,7.59
2023-01-07,16-20,3.14
2023-01-07,20-24,0.1
2023-01-08,00-04,-1.87
2023-01-08,04-08,-2.66
2023-01-08,08-12,-0.29
2023-01-08,12-16,4.79
2023-01-08,16-20,4.43
2023-01-08,20-24,1.59
2023-01-09,00-04,1.57
2023-01-09,04-08,3.2
2023-01-09,08-12,5.78
2023-01-09,12-16,6.51
2023-01-09,16-20,5.72
2023-01-09,20-24,4.81
2023-01-10,00-04,3.86
2023-01-10,04-08,3.35
2023-01-10,08-12,3.37
2023-01-10,12-16,4.74
2023-01-10,16-20,2.03
2023-01-10,20-24,1.32
2023-01-11,00-04,1.78
2023-01-11,04-08,2.62
2023-01-11,08-12,4.41
2023-01-11,12-16,5.95
2023-01-11,16-20,4.92
2023-01-11,20-24,4.34
2023-01-12,00-04,4.55
2023-01-12,04-08,2.12
2023-01-12,08-12,3.32
2023-01-12,12-16,6.65
2023-01-12,16-20,4.1
2023-01-12,20-24,3.56
2023-01-13,00-04,3.41
2023-01-13,04-08,4.49
2023-01-13,08-12,5.41
2023-01-13,12-16,8.32
2023-01-13,16-20,6.7
2023-01-13,20-24,5.12
2023-01-14,00-04,2.77
2023-01-14,04-08,2.14
2023-01-14,08-12,4.39
2023-01-14,12-16,6.92
2023-01-14,16-20,5.93
2023-01-14,20-24,5.24
2023-01-15,00-04,6.57
2023-01-15,04-08,8.42
2023-01-15,08-12,8.26
2023-01-15,12-16,5.52
2023-01-15,16-20,3.35
2023-01-15,20-24,0.95
2023-01-16,00-04,-0.77
2023-01-16,04-08,-0.41
2023-01-16,08-12,2.78
2023-01-16,12-16,5.82
2023-01-16,16-20,3.11
2023-01-16,20-24,1.25
2023-01-17,00-04,0.52
2023-01-17,04-08,-1.15
2023-01-17,08-12,0.36
2023-01-17,12-16,3.23
2023-01-17,16-20,0.97
2023-01-17,20-24,0.45
2023-01-18,00-04,1.22
2023-01-18,04-08,0.09
2023-01-18,08-12,2.67
2023-01-18,12-16,4.45
2023-01-18,16-20,1.41
2023-01-18,20-24,0.42
2023-01-19,00-04,-0.87
2023-01-19,04-08,-1.75
2023-01-19,08-12,-1.14
2023-01-19,12-16,0.32
2023-01-19,16-20,-1.07
2023-01-19,20-24,-2.53
2023-01-20,00-04,-4.09
2023-01-20,04-08,-5.37
2023-01-20,08-12,-2.76
2023-01-20,12-16,-0.06
2023-01-20,16-20,-1.37
2023-01-20,20-24,-1.73
2023-01-21,00-04,-1.81
2023-01-21,04-08,-2.25
2023-01-21,08-12,-2.24
2023-01-21,12-16,-1.66
2023-01-21,16-20,-2.01
2023-01-21,20-24,-2.33
2023-01-22,00-04,-2.62
2023-01-22,04-08,-3.33
2023-01-22,08-12,-2.2
2023-01-22,12-16,-0.96
2023-01-22,16-20,-2.38
2023-01-22,20-24,-4.91
2023-01-23,00-04,-4.58
2023-01-23,04-08,-4.52
2023-01-23,08-12,-3.68
2023-01-23,12-16,-2.08
2023-01-23,16-20,-1.86
2023-01-23,20-24,-1.6
2023-01-24,00-04,-1.58
2023-01-24,04-08,-1.85
2023-01-24,08-12,-1.37
2023-01-24,12-16,1.0
2023-01-24,16-20,0.37
2023-01-24,20-24,-0.09
2023-01-25,00-04,-0.44
2023-01-25,04-08,-0.65
2023-01-25,08-12,-0.73
2023-01-25,12-16,0.2
2023-01-25,16-20,-0.03
2023-01-25,20-24,-0.57
2023-01-26,00-04,-1.01
2023-01-26,04-08,-1.39
