datum,dow,month,week,is_weekend,is_friday,is_sunday,sin_week,cos_week,is_feiertag_by,is_feiertag_at,is_pre_feiertag_by,is_post_feiertag_by,is_pre_feiertag_at,is_post_feiertag_at,is_brueckentag_by,is_brueckentag_at,is_long_weekend_by,is_long_weekend_at,is_ferien_by,is_ferien_at,is_ferien_overlap,is_ferien_start_by,is_ferien_end_by,is_ferien_start_at,is_ferien_end_at,is_pre_ferien_weekend_by,is_pre_ferien_weekend_at,is_oktoberfest,is_messe_mch,is_dosierung
2023-01-01,6,1,52,1,0,1,6.432490598706546e-16,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
2023-01-02,0,1,1,0,0,0,0.12053668025532305,0.992708874098054,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2023-01-03,1,1,1,0,0,0,0.12053668025532305,0.992708874098054,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2023-01-04,2,1,1,0,0,0,0.12053668025532305,0.992708874098054,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2023-01-05,3,1,1,0,0,0,0.12053668025532305,0.992708874098054,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2023-01-06,4,1,1,0,1,0,0.12053668025532305,0.992708874098054,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2023-01-07,5,1,1,1,0,0,0.12053668025532305,0.992708874098054,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0
2023-01-08,6,1,1,1,0,1,0.12053668025532305,0.992708874098054,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-09,0,1,2,0,0,0,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-01-10,1,1,2,0,0,0,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-11,2,1,2,0,0,0,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-12,3,1,2,0,0,0,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-13,4,1,2,0,1,0,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-14,5,1,2,1,0,0,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
